word,positive_probability,negative_probability,neutral_probability
lord,0.31611054077674855,0.21982999339362239,0.46405946582962904
knows,0.756463674059536,0.058451214236079865,0.18508511170438424
lack,0.27244148984309385,0.25261547543966506,0.4749430347172412
iphone,0.15609241441423585,0.646130862526911,0.19777672305885327
cleaning,0.28604877814684854,0.2774471954415348,0.4365040264116167
watching,0.22457623616143185,0.2602918185435142,0.515131945295054
play,0.2923888764159471,0.32436525504710445,0.38324586853694853
wars,0.39360645925407256,0.183594227862827,0.4227993128831004
4th,0.27889152205011136,0.32453298959359117,0.3965754883562974
june,0.2587117124138797,0.3410127576987235,0.40027552988739673
internet,0.3373239425436073,0.32841514183653797,0.33426091561985466
less,0.25804638408882696,0.32627444339914485,0.4156791725120282
taking,0.10624134337993665,0.6403149118393585,0.25344374478070486
long,0.02860259981200138,0.8204978205751312,0.1508995796128674
decide,0.20422865565278456,0.45312722420058327,0.34264412014663215
getting,0.2607227698810443,0.3579409790340803,0.38133625108487545
soon,0.16214728857340585,0.45104269270235536,0.38681001872423876
mate,0.3412310027074584,0.2816431049136187,0.37712589237892286
board,0.7566725971449367,0.06976218795024923,0.17356521490481408
twitter,0.23881873960474112,0.4577835981137627,0.3033976622814962
tweet,0.23046648103936207,0.3587024169807154,0.4108311019799225
great,0.22259887746238455,0.4339090736156807,0.3434920489219348
would,0.2756431615901467,0.36607105716963534,0.35828578124021804
travel,0.211909573162847,0.37786262633421375,0.41022780050293917
one,0.31627403911006324,0.3203384126181456,0.3633875482717911
big,0.04163456840289612,0.7493863724648807,0.20897905913222323
sound,0.19789958232501928,0.42597774348382106,0.3761226741911596
art,0.3673900938400027,0.30605678962930183,0.32655311653069546
lmao,0.6711108153719415,0.10083126987028403,0.2280579147577744
awww,0.47974722272689835,0.22895930949103585,0.29129346778206583
awesome,0.36456076226806916,0.39467914234099805,0.24076009539093285
left,0.1805232591430974,0.4882099986837347,0.3312667421731679
soo,0.3096480142656543,0.3588930250111522,0.3314589607231935
sick,0.3376458466789114,0.2855749903190359,0.37677916300205266
ahhhh,0.28781185503406986,0.3378067264894413,0.37438141847648887
mess,0.2196416590411748,0.2909399642732115,0.4894183766856136
weeks,0.3059884760268732,0.2655684146634016,0.4284431093097252
hope,0.03753303570172939,0.6525317828756706,0.3099351814226
difficult,0.16649175871280958,0.5789095505641171,0.25459869072307323
well,0.26072688075036443,0.43170242442689744,0.30757069482273813
btw,0.25897811768439505,0.5628090350902426,0.17821284722536238
beat,0.3966913253952705,0.23933717410162653,0.36397150050310306
